Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Agra,Achnera,Potato,Desi,FAQ,780,870,825,30-Mar-22
2,Agra,Achnera,Potato,Desi,FAQ,800,880,840,29-Mar-22
3,Agra,Achnera,Potato,Desi,FAQ,830,930,880,28-Mar-22
4,Agra,Achnera,Potato,Desi,FAQ,820,920,870,27-Mar-22
5,Agra,Achnera,Potato,Desi,FAQ,860,940,900,26-Mar-22
6,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,25-Mar-22
7,Agra,Achnera,Potato,Desi,FAQ,910,990,950,23-Mar-22
8,Agra,Achnera,Potato,Desi,FAQ,900,980,940,22-Mar-22
9,Agra,Achnera,Potato,Desi,FAQ,930,1030,980,21-Mar-22
10,Agra,Achnera,Potato,Desi,FAQ,970,1030,1000,20-Mar-22
11,Agra,Achnera,Potato,Desi,FAQ,1000,1080,1040,19-Mar-22
12,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,16-Mar-22
13,Agra,Achnera,Potato,Desi,FAQ,920,980,950,15-Mar-22
14,Agra,Achnera,Potato,Desi,FAQ,870,950,910,14-Mar-22
15,Agra,Achnera,Potato,Desi,FAQ,870,970,920,13-Mar-22
16,Agra,Achnera,Potato,Desi,FAQ,860,940,900,12-Mar-22
17,Agra,Achnera,Potato,Desi,FAQ,870,950,910,11-Mar-22
18,Agra,Achnera,Potato,Desi,FAQ,820,920,870,09-Mar-22
19,Agra,Achnera,Potato,Desi,FAQ,820,920,870,08-Mar-22
20,Agra,Achnera,Potato,Desi,FAQ,790,890,840,07-Mar-22
21,Agra,Achnera,Potato,Desi,FAQ,800,880,840,06-Mar-22
22,Agra,Achnera,Potato,Desi,FAQ,800,890,845,05-Mar-22
23,Agra,Achnera,Potato,Desi,FAQ,800,860,830,04-Mar-22
24,Agra,Achnera,Potato,Desi,FAQ,770,870,820,02-Mar-22
25,Agra,Achnera,Potato,Desi,FAQ,780,880,830,01-Mar-22
26,Agra,Achnera,Potato,Desi,FAQ,790,890,840,28-Feb-22
27,Agra,Achnera,Potato,Desi,FAQ,800,880,840,27-Feb-22
28,Agra,Achnera,Potato,Desi,FAQ,790,870,830,26-Feb-22
29,Agra,Achnera,Potato,Desi,FAQ,760,900,820,25-Feb-22
30,Agra,Achnera,Potato,Desi,FAQ,730,850,790,23-Feb-22
31,Agra,Achnera,Potato,Desi,FAQ,730,830,780,22-Feb-22
32,Agra,Achnera,Potato,Desi,FAQ,720,800,760,21-Feb-22
33,Agra,Achnera,Potato,Desi,FAQ,730,830,780,20-Feb-22
34,Agra,Achnera,Potato,Desi,FAQ,720,820,770,19-Feb-22
35,Agra,Achnera,Potato,Desi,FAQ,740,820,780,18-Feb-22
36,Agra,Achnera,Potato,Desi,FAQ,720,800,760,16-Feb-22
37,Agra,Achnera,Potato,Desi,FAQ,740,820,780,15-Feb-22
38,Agra,Achnera,Potato,Desi,FAQ,730,830,780,14-Feb-22
39,Agra,Achnera,Potato,Desi,FAQ,720,820,770,13-Feb-22
40,Agra,Achnera,Potato,Desi,FAQ,700,800,750,12-Feb-22
41,Agra,Achnera,Potato,Desi,FAQ,710,810,760,11-Feb-22
42,Agra,Achnera,Potato,Desi,FAQ,700,840,770,09-Feb-22
43,Agra,Achnera,Potato,Desi,FAQ,730,830,780,08-Feb-22
44,Agra,Achnera,Potato,Desi,FAQ,730,810,770,07-Feb-22
45,Agra,Achnera,Potato,Desi,FAQ,700,800,750,06-Feb-22
46,Agra,Achnera,Potato,Desi,FAQ,690,790,740,05-Feb-22
47,Agra,Achnera,Potato,Desi,FAQ,720,820,770,04-Feb-22
48,Agra,Achnera,Potato,Desi,FAQ,730,830,780,02-Feb-22
49,Agra,Achnera,Potato,Desi,FAQ,720,820,770,01-Feb-22
50,Agra,Achnera,Potato,Desi,FAQ,710,810,760,31-Jan-22
51,Agra,Achnera,Potato,Desi,FAQ,720,820,770,30-Jan-22
52,Agra,Achnera,Potato,Desi,FAQ,730,830,790,29-Jan-22
53,Agra,Achnera,Potato,Desi,FAQ,730,810,770,28-Jan-22
54,Agra,Achnera,Potato,Desi,FAQ,710,810,760,26-Jan-22
55,Agra,Achnera,Potato,Desi,FAQ,720,820,780,25-Jan-22
56,Agra,Achnera,Potato,Desi,FAQ,740,840,790,24-Jan-22
57,Agra,Achnera,Potato,Desi,FAQ,2060,2140,2100,23-Jan-22
58,Agra,Achnera,Potato,Desi,FAQ,740,840,790,22-Jan-22
59,Agra,Achnera,Potato,Desi,FAQ,740,820,780,21-Jan-22
60,Agra,Achnera,Potato,Desi,FAQ,680,780,730,19-Jan-22
61,Agra,Achnera,Potato,Desi,FAQ,690,790,740,17-Jan-22
62,Agra,Achnera,Potato,Desi,FAQ,720,800,760,16-Jan-22
63,Agra,Achnera,Potato,Desi,FAQ,740,840,790,15-Jan-22
64,Agra,Achnera,Potato,Desi,FAQ,760,820,790,14-Jan-22
65,Agra,Achnera,Potato,Desi,FAQ,750,830,790,12-Jan-22
66,Agra,Achnera,Potato,Desi,FAQ,770,870,820,11-Jan-22
67,Agra,Achnera,Potato,Desi,FAQ,780,880,820,10-Jan-22
68,Agra,Achnera,Potato,Desi,FAQ,800,900,850,09-Jan-22
69,Agra,Achnera,Potato,Desi,FAQ,790,890,840,08-Jan-22
70,Agra,Achnera,Potato,Desi,FAQ,800,880,840,07-Jan-22
71,Agra,Achnera,Potato,Desi,FAQ,710,790,750,05-Jan-22
72,Agra,Achnera,Potato,Desi,FAQ,710,810,760,04-Jan-22
73,Agra,Achnera,Potato,Desi,FAQ,700,780,740,03-Jan-22
74,Agra,Achnera,Potato,Desi,FAQ,700,800,750,02-Jan-22
75,Agra,Achnera,Potato,Desi,FAQ,700,800,750,01-Jan-22
76,Agra,Achnera,Potato,Desi,FAQ,650,750,700,31-Dec-21
77,Agra,Achnera,Potato,Desi,FAQ,650,750,700,29-Dec-21
78,Agra,Achnera,Potato,Desi,FAQ,700,800,750,28-Dec-21
79,Agra,Achnera,Potato,Desi,FAQ,660,760,710,26-Dec-21
80,Agra,Achnera,Potato,Desi,FAQ,650,750,700,25-Dec-21
81,Agra,Achnera,Potato,Desi,FAQ,750,850,800,24-Dec-21
82,Agra,Achnera,Potato,Desi,FAQ,860,960,910,22-Dec-21
83,Agra,Achnera,Potato,Desi,FAQ,860,940,900,21-Dec-21
84,Agra,Achnera,Potato,Desi,FAQ,870,950,910,20-Dec-21
85,Agra,Achnera,Potato,Desi,FAQ,860,960,910,19-Dec-21
86,Agra,Achnera,Potato,Desi,FAQ,870,970,920,18-Dec-21
87,Agra,Achnera,Potato,Desi,FAQ,890,970,930,17-Dec-21
88,Agra,Achnera,Potato,Desi,FAQ,900,980,940,15-Dec-21
89,Agra,Achnera,Potato,Desi,FAQ,860,940,900,14-Dec-21
90,Agra,Achnera,Potato,Desi,FAQ,900,1020,960,13-Dec-21
91,Agra,Achnera,Potato,Desi,FAQ,920,1020,970,12-Dec-21
92,Agra,Achnera,Potato,Desi,FAQ,940,1020,980,11-Dec-21
93,Agra,Achnera,Potato,Desi,FAQ,970,1050,1010,10-Dec-21
94,Agra,Achnera,Potato,Desi,FAQ,980,1060,1020,08-Dec-21
95,Agra,Achnera,Potato,Desi,FAQ,950,1050,1000,07-Dec-21
96,Agra,Achnera,Potato,Desi,FAQ,880,1050,970,06-Dec-21
97,Agra,Achnera,Potato,Desi,FAQ,900,1100,1000,05-Dec-21
98,Agra,Achnera,Potato,Desi,FAQ,1100,1180,1140,04-Dec-21
99,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,03-Dec-21
100,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,01-Dec-21
101,Agra,Achnera,Potato,Desi,FAQ,1210,1290,1250,30-Nov-21
102,Agra,Achnera,Potato,Desi,FAQ,1220,1300,1260,29-Nov-21
103,Agra,Achnera,Potato,Desi,FAQ,1280,1340,1310,27-Nov-21
104,Agra,Achnera,Potato,Desi,FAQ,1280,1340,1310,26-Nov-21
105,Agra,Achnera,Potato,Desi,FAQ,1220,1280,1250,24-Nov-21
106,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,23-Nov-21
107,Agra,Achnera,Potato,Desi,FAQ,1200,1280,1240,22-Nov-21
108,Agra,Achnera,Potato,Desi,FAQ,1220,1280,1250,21-Nov-21
109,Agra,Achnera,Potato,Desi,FAQ,1195,1245,1220,20-Nov-21
110,Agra,Achnera,Potato,Desi,FAQ,1200,1300,1250,19-Nov-21
111,Agra,Achnera,Potato,Desi,FAQ,1340,1400,1370,17-Nov-21
112,Agra,Achnera,Potato,Desi,FAQ,1310,1390,1350,16-Nov-21
113,Agra,Achnera,Potato,Desi,FAQ,1300,1360,1330,15-Nov-21
114,Agra,Achnera,Potato,Desi,FAQ,1320,1420,1370,14-Nov-21
115,Agra,Achnera,Potato,Desi,FAQ,1310,1390,1350,13-Nov-21
116,Agra,Achnera,Potato,Desi,FAQ,1300,1380,1340,12-Nov-21
117,Agra,Achnera,Potato,Desi,FAQ,1400,1480,1440,10-Nov-21
118,Agra,Achnera,Potato,Desi,FAQ,1400,1460,1430,09-Nov-21
119,Agra,Achnera,Potato,Desi,FAQ,1340,1440,1390,08-Nov-21
120,Agra,Achnera,Potato,Desi,FAQ,1320,1400,1360,07-Nov-21
121,Agra,Achnera,Potato,Desi,FAQ,1350,1450,1400,06-Nov-21
122,Agra,Achnera,Potato,Desi,FAQ,1300,1400,1350,05-Nov-21
123,Agra,Achnera,Potato,Desi,FAQ,1330,1400,1370,03-Nov-21
124,Agra,Achnera,Potato,Desi,FAQ,1250,1350,1300,02-Nov-21
125,Agra,Achnera,Potato,Desi,FAQ,1050,1150,1100,01-Nov-21
126,Agra,Achnera,Potato,Desi,FAQ,1000,1100,1050,31-Oct-21
127,Agra,Achnera,Potato,Desi,FAQ,930,1010,970,30-Oct-21
128,Agra,Achnera,Potato,Desi,FAQ,930,1000,970,29-Oct-21
129,Agra,Achnera,Potato,Desi,FAQ,910,970,940,27-Oct-21
130,Agra,Achnera,Potato,Desi,FAQ,900,940,920,25-Oct-21
131,Agra,Achnera,Potato,Desi,FAQ,900,950,925,24-Oct-21
132,Agra,Achnera,Potato,Desi,FAQ,880,940,910,23-Oct-21
133,Agra,Achnera,Potato,Desi,FAQ,890,950,920,22-Oct-21
134,Agra,Achnera,Potato,Desi,FAQ,910,950,930,20-Oct-21
135,Agra,Achnera,Potato,Desi,FAQ,900,950,925,19-Oct-21
136,Agra,Achnera,Potato,Desi,FAQ,880,940,910,18-Oct-21
137,Agra,Achnera,Potato,Desi,FAQ,890,950,920,17-Oct-21
138,Agra,Achnera,Potato,Desi,FAQ,880,940,910,16-Oct-21
139,Agra,Achnera,Potato,Desi,FAQ,880,940,910,15-Oct-21
140,Agra,Achnera,Potato,Desi,FAQ,870,930,900,13-Oct-21
141,Agra,Achnera,Potato,Desi,FAQ,860,940,900,12-Oct-21
142,Agra,Achnera,Potato,Desi,FAQ,870,930,900,11-Oct-21
143,Agra,Achnera,Potato,Desi,FAQ,860,940,900,10-Oct-21
144,Agra,Achnera,Potato,Desi,FAQ,870,930,900,09-Oct-21
145,Agra,Achnera,Potato,Desi,FAQ,880,940,910,08-Oct-21
146,Agra,Achnera,Potato,Desi,FAQ,880,940,910,06-Oct-21
147,Agra,Achnera,Potato,Desi,FAQ,880,960,920,05-Oct-21
148,Agra,Achnera,Potato,Desi,FAQ,890,940,915,04-Oct-21
149,Agra,Achnera,Potato,Desi,FAQ,860,920,890,03-Oct-21
150,Agra,Achnera,Potato,Desi,FAQ,870,930,900,02-Oct-21
151,Agra,Achnera,Potato,Desi,FAQ,850,940,890,01-Oct-21
152,Agra,Achnera,Potato,Desi,FAQ,840,920,880,29-Sep-21
153,Agra,Achnera,Potato,Desi,FAQ,890,940,915,28-Sep-21
154,Agra,Achnera,Potato,Desi,FAQ,870,930,900,27-Sep-21
155,Agra,Achnera,Potato,Desi,FAQ,880,960,920,26-Sep-21
156,Agra,Achnera,Potato,Desi,FAQ,860,940,900,25-Sep-21
157,Agra,Achnera,Potato,Desi,FAQ,870,930,900,24-Sep-21
158,Agra,Achnera,Potato,Desi,FAQ,860,920,890,22-Sep-21
159,Agra,Achnera,Potato,Desi,FAQ,870,930,900,21-Sep-21
160,Agra,Achnera,Potato,Desi,FAQ,840,920,880,20-Sep-21
161,Agra,Achnera,Potato,Desi,FAQ,840,920,880,19-Sep-21
162,Agra,Achnera,Potato,Desi,FAQ,850,930,890,18-Sep-21
163,Agra,Achnera,Potato,Desi,FAQ,890,970,930,17-Sep-21
164,Agra,Achnera,Potato,Desi,FAQ,900,960,930,15-Sep-21
165,Agra,Achnera,Potato,Desi,FAQ,900,960,930,14-Sep-21
166,Agra,Achnera,Potato,Desi,FAQ,890,950,920,13-Sep-21
167,Agra,Achnera,Potato,Desi,FAQ,870,930,900,12-Sep-21
168,Agra,Achnera,Potato,Desi,FAQ,880,940,910,11-Sep-21
169,Agra,Achnera,Potato,Desi,FAQ,880,960,920,10-Sep-21
170,Agra,Achnera,Potato,Desi,FAQ,900,950,925,08-Sep-21
171,Agra,Achnera,Potato,Desi,FAQ,900,980,940,07-Sep-21
172,Agra,Achnera,Potato,Desi,FAQ,910,970,940,06-Sep-21
173,Agra,Achnera,Potato,Desi,FAQ,900,960,930,05-Sep-21
174,Agra,Achnera,Potato,Desi,FAQ,890,970,930,04-Sep-21
175,Agra,Achnera,Potato,Desi,FAQ,870,930,900,03-Sep-21
176,Agra,Achnera,Potato,Desi,FAQ,880,960,920,01-Sep-21
177,Agra,Achnera,Potato,Desi,FAQ,910,970,940,31-Aug-21
178,Agra,Achnera,Potato,Desi,FAQ,900,950,925,30-Aug-21
179,Agra,Achnera,Potato,Desi,FAQ,900,960,930,29-Aug-21
180,Agra,Achnera,Potato,Desi,FAQ,900,960,930,27-Aug-21
181,Agra,Achnera,Potato,Desi,FAQ,880,960,920,25-Aug-21
182,Agra,Achnera,Potato,Desi,FAQ,890,960,925,24-Aug-21
183,Agra,Achnera,Potato,Desi,FAQ,910,970,940,23-Aug-21
184,Agra,Achnera,Potato,Desi,FAQ,870,930,900,22-Aug-21
185,Agra,Achnera,Potato,Desi,FAQ,880,960,920,21-Aug-21
186,Agra,Achnera,Potato,Desi,FAQ,880,940,910,20-Aug-21
187,Agra,Achnera,Potato,Desi,FAQ,900,950,925,19-Aug-21
188,Agra,Achnera,Potato,Desi,FAQ,900,960,930,18-Aug-21
189,Agra,Achnera,Potato,Desi,FAQ,900,960,930,17-Aug-21
190,Agra,Achnera,Potato,Desi,FAQ,860,940,900,16-Aug-21
191,Agra,Achnera,Potato,Desi,FAQ,870,950,910,15-Aug-21
192,Agra,Achnera,Potato,Desi,FAQ,890,950,920,14-Aug-21
193,Agra,Achnera,Potato,Desi,FAQ,880,960,920,13-Aug-21
194,Agra,Achnera,Potato,Desi,FAQ,890,970,930,12-Aug-21
195,Agra,Achnera,Potato,Desi,FAQ,880,960,920,11-Aug-21
196,Agra,Achnera,Potato,Desi,FAQ,910,990,950,10-Aug-21
197,Agra,Achnera,Potato,Desi,FAQ,900,960,930,09-Aug-21
198,Agra,Achnera,Potato,Desi,FAQ,900,960,930,08-Aug-21
199,Agra,Achnera,Potato,Desi,FAQ,910,970,940,07-Aug-21
200,Agra,Achnera,Potato,Desi,FAQ,920,980,950,06-Aug-21
201,Agra,Achnera,Potato,Desi,FAQ,910,970,940,05-Aug-21
202,Agra,Achnera,Potato,Desi,FAQ,910,970,940,04-Aug-21
203,Agra,Achnera,Potato,Desi,FAQ,900,950,925,03-Aug-21
204,Agra,Achnera,Potato,Desi,FAQ,880,930,905,31-Jul-21
205,Agra,Achnera,Potato,Desi,FAQ,890,950,920,30-Jul-21
206,Agra,Achnera,Potato,Desi,FAQ,900,950,925,29-Jul-21
207,Agra,Achnera,Potato,Desi,FAQ,880,960,920,28-Jul-21
208,Agra,Achnera,Potato,Desi,FAQ,910,960,935,27-Jul-21
209,Agra,Achnera,Potato,Desi,FAQ,900,950,925,26-Jul-21
210,Agra,Achnera,Potato,Desi,FAQ,900,960,930,25-Jul-21
211,Agra,Achnera,Potato,Desi,FAQ,910,990,950,24-Jul-21
212,Agra,Achnera,Potato,Desi,FAQ,900,950,925,23-Jul-21
213,Agra,Achnera,Potato,Desi,FAQ,900,980,940,22-Jul-21
214,Agra,Achnera,Potato,Desi,FAQ,900,960,930,21-Jul-21
215,Agra,Achnera,Potato,Desi,FAQ,910,950,935,20-Jul-21
216,Agra,Achnera,Potato,Desi,FAQ,900,950,925,19-Jul-21
217,Agra,Achnera,Potato,Desi,FAQ,900,960,930,18-Jul-21
218,Agra,Achnera,Potato,Desi,FAQ,900,950,925,17-Jul-21
219,Agra,Achnera,Potato,Desi,FAQ,900,980,940,16-Jul-21
220,Agra,Achnera,Potato,Desi,FAQ,910,970,940,13-Jul-21
221,Agra,Achnera,Potato,Desi,FAQ,900,980,940,12-Jul-21
222,Agra,Achnera,Potato,Desi,FAQ,890,970,930,11-Jul-21
223,Agra,Achnera,Potato,Desi,FAQ,870,930,900,10-Jul-21
224,Agra,Achnera,Potato,Desi,FAQ,870,970,920,09-Jul-21
225,Agra,Achnera,Potato,Desi,FAQ,880,960,920,08-Jul-21
226,Agra,Achnera,Potato,Desi,FAQ,890,970,930,07-Jul-21
227,Agra,Achnera,Potato,Desi,FAQ,880,960,920,06-Jul-21
228,Agra,Achnera,Potato,Desi,FAQ,880,960,920,05-Jul-21
229,Agra,Achnera,Potato,Desi,FAQ,900,960,930,04-Jul-21
230,Agra,Achnera,Potato,Desi,FAQ,880,960,920,03-Jul-21
231,Agra,Achnera,Potato,Desi,FAQ,880,960,920,02-Jul-21
232,Agra,Achnera,Potato,Desi,FAQ,870,950,910,01-Jul-21
233,Agra,Achnera,Potato,Desi,FAQ,880,960,920,30-Jun-21
234,Agra,Achnera,Potato,Desi,FAQ,860,940,900,29-Jun-21
235,Agra,Achnera,Potato,Desi,FAQ,870,950,910,28-Jun-21
236,Agra,Achnera,Potato,Desi,FAQ,880,940,910,27-Jun-21
237,Agra,Achnera,Potato,Desi,FAQ,900,950,925,26-Jun-21
238,Agra,Achnera,Potato,Desi,FAQ,890,950,930,25-Jun-21
239,Agra,Achnera,Potato,Desi,FAQ,900,960,930,23-Jun-21
240,Agra,Achnera,Potato,Desi,FAQ,860,940,900,22-Jun-21
241,Agra,Achnera,Potato,Desi,FAQ,870,950,910,21-Jun-21
242,Agra,Achnera,Potato,Desi,FAQ,860,940,900,20-Jun-21
243,Agra,Achnera,Potato,Desi,FAQ,850,930,890,19-Jun-21
244,Agra,Achnera,Potato,Desi,FAQ,860,940,900,18-Jun-21
245,Agra,Achnera,Potato,Desi,FAQ,860,920,890,17-Jun-21
246,Agra,Achnera,Potato,Desi,FAQ,870,940,910,16-Jun-21
247,Agra,Achnera,Potato,Desi,FAQ,860,940,900,15-Jun-21
248,Agra,Achnera,Potato,Desi,FAQ,860,940,900,14-Jun-21
249,Agra,Achnera,Potato,Desi,FAQ,870,970,920,13-Jun-21
250,Agra,Achnera,Potato,Desi,FAQ,880,940,910,12-Jun-21
251,Agra,Achnera,Potato,Desi,FAQ,900,950,925,11-Jun-21
252,Agra,Achnera,Potato,Desi,FAQ,870,970,920,10-Jun-21
253,Agra,Achnera,Potato,Desi,FAQ,880,960,920,09-Jun-21
254,Agra,Achnera,Potato,Desi,FAQ,870,950,910,08-Jun-21
255,Agra,Achnera,Potato,Desi,FAQ,880,960,920,07-Jun-21
256,Agra,Achnera,Potato,Desi,FAQ,840,940,890,06-Jun-21
257,Agra,Achnera,Potato,Desi,FAQ,880,960,920,05-Jun-21
258,Agra,Achnera,Potato,Desi,FAQ,870,970,920,04-Jun-21
259,Agra,Achnera,Potato,Desi,FAQ,880,940,910,03-Jun-21
260,Agra,Achnera,Potato,Desi,FAQ,810,870,840,02-Jun-21
261,Agra,Achnera,Potato,Desi,FAQ,800,880,840,01-Jun-21
262,Agra,Achnera,Potato,Desi,FAQ,840,920,880,31-May-21
263,Agra,Achnera,Potato,Desi,FAQ,825,895,860,30-May-21
264,Agra,Achnera,Potato,Desi,FAQ,830,930,880,29-May-21
265,Agra,Achnera,Potato,Desi,FAQ,820,900,860,28-May-21
266,Agra,Achnera,Potato,Desi,FAQ,800,900,850,26-May-21
267,Agra,Achnera,Potato,Desi,FAQ,800,880,840,25-May-21
268,Agra,Achnera,Potato,Desi,FAQ,820,920,870,24-May-21
269,Agra,Achnera,Potato,Desi,FAQ,840,940,890,23-May-21
270,Agra,Achnera,Potato,Desi,FAQ,860,940,900,22-May-21
271,Agra,Achnera,Potato,Desi,FAQ,880,980,930,21-May-21
272,Agra,Achnera,Potato,Desi,FAQ,830,930,880,19-May-21
273,Agra,Achnera,Potato,Desi,FAQ,850,930,890,18-May-21
274,Agra,Achnera,Potato,Desi,FAQ,870,970,920,17-May-21
275,Agra,Achnera,Potato,Desi,FAQ,850,930,890,16-May-21
276,Agra,Achnera,Potato,Desi,FAQ,800,900,850,15-May-21
277,Agra,Achnera,Potato,Desi,FAQ,810,890,850,14-May-21
278,Agra,Achnera,Potato,Desi,FAQ,790,870,830,12-May-21
279,Agra,Achnera,Potato,Desi,FAQ,800,880,840,11-May-21
280,Agra,Achnera,Potato,Desi,FAQ,770,850,810,10-May-21
281,Agra,Achnera,Potato,Desi,FAQ,760,840,800,09-May-21
282,Agra,Achnera,Potato,Desi,FAQ,770,850,810,08-May-21
283,Agra,Achnera,Potato,Desi,FAQ,760,840,800,07-May-21
284,Agra,Achnera,Potato,Desi,FAQ,830,890,860,05-May-21
285,Agra,Achnera,Potato,Desi,FAQ,820,880,850,04-May-21
286,Agra,Achnera,Potato,Desi,FAQ,800,860,830,03-May-21
287,Agra,Achnera,Potato,Desi,FAQ,750,810,780,02-May-21
288,Agra,Achnera,Potato,Desi,FAQ,750,810,780,01-May-21
289,Agra,Achnera,Potato,Desi,FAQ,750,830,790,30-Apr-21
290,Agra,Achnera,Potato,Desi,FAQ,710,770,740,28-Apr-21
291,Agra,Achnera,Potato,Desi,FAQ,710,790,750,27-Apr-21
292,Agra,Achnera,Potato,Desi,FAQ,690,790,740,25-Apr-21
293,Agra,Achnera,Potato,Desi,FAQ,700,780,740,24-Apr-21
294,Agra,Achnera,Potato,Desi,FAQ,700,760,730,23-Apr-21
295,Agra,Achnera,Potato,Desi,FAQ,660,760,710,21-Apr-21
296,Agra,Achnera,Potato,Desi,FAQ,670,740,710,20-Apr-21
297,Agra,Achnera,Potato,Desi,FAQ,680,760,720,19-Apr-21
298,Agra,Achnera,Potato,Desi,FAQ,680,740,710,17-Apr-21
299,Agra,Achnera,Potato,Desi,FAQ,650,740,695,16-Apr-21
300,Agra,Achnera,Potato,Desi,FAQ,640,740,690,14-Apr-21
301,Agra,Achnera,Potato,Desi,FAQ,670,750,710,13-Apr-21
302,Agra,Achnera,Potato,Desi,FAQ,700,800,750,12-Apr-21
303,Agra,Achnera,Potato,Desi,FAQ,690,780,735,11-Apr-21
304,Agra,Achnera,Potato,Desi,FAQ,680,780,730,10-Apr-21
305,Agra,Achnera,Potato,Desi,FAQ,650,750,700,09-Apr-21
306,Agra,Achnera,Potato,Desi,FAQ,670,730,700,07-Apr-21
307,Agra,Achnera,Potato,Desi,FAQ,670,730,700,06-Apr-21
308,Agra,Achnera,Potato,Desi,FAQ,680,760,720,05-Apr-21
309,Agra,Achnera,Potato,Desi,FAQ,680,740,710,04-Apr-21
310,Agra,Achnera,Potato,Desi,FAQ,640,720,680,03-Apr-21
311,Agra,Achnera,Potato,Desi,FAQ,630,690,660,02-Apr-21
312,Agra,Achnera,Potato,Desi,FAQ,620,720,670,31-Mar-21
313,Agra,Achnera,Potato,Desi,FAQ,600,700,650,30-Mar-21
314,Agra,Achnera,Potato,Desi,FAQ,600,680,640,28-Mar-21
315,Agra,Achnera,Potato,Desi,FAQ,600,660,630,27-Mar-21
316,Agra,Achnera,Potato,Desi,FAQ,600,680,640,26-Mar-21
317,Agra,Achnera,Potato,Desi,FAQ,590,670,630,23-Mar-21
318,Agra,Achnera,Potato,Desi,FAQ,600,660,630,22-Mar-21
319,Agra,Achnera,Potato,Desi,FAQ,590,670,630,21-Mar-21
320,Agra,Achnera,Potato,Desi,FAQ,600,680,640,20-Mar-21
321,Agra,Achnera,Potato,Desi,FAQ,590,670,630,19-Mar-21
322,Agra,Achnera,Potato,Desi,FAQ,600,660,630,17-Mar-21
323,Agra,Achnera,Potato,Desi,FAQ,550,650,600,16-Mar-21
324,Agra,Achnera,Potato,Desi,FAQ,520,600,560,15-Mar-21
325,Agra,Achnera,Potato,Desi,FAQ,530,590,560,14-Mar-21
326,Agra,Achnera,Potato,Desi,FAQ,500,580,540,13-Mar-21
327,Agra,Achnera,Potato,Desi,FAQ,500,580,540,12-Mar-21
328,Agra,Achnera,Potato,Desi,FAQ,520,600,560,10-Mar-21
329,Agra,Achnera,Potato,Desi,FAQ,500,580,540,09-Mar-21
330,Agra,Achnera,Potato,Desi,FAQ,500,560,530,08-Mar-21
331,Agra,Achnera,Potato,Desi,FAQ,500,580,540,07-Mar-21
332,Agra,Achnera,Potato,Desi,FAQ,500,600,550,06-Mar-21
333,Agra,Achnera,Potato,Desi,FAQ,520,600,560,05-Mar-21
334,Agra,Achnera,Potato,Desi,FAQ,500,560,530,03-Mar-21
335,Agra,Achnera,Potato,Desi,FAQ,500,580,540,02-Mar-21
336,Agra,Achnera,Potato,Desi,FAQ,500,580,540,01-Mar-21
337,Agra,Achnera,Potato,Desi,FAQ,520,580,550,28-Feb-21
338,Agra,Achnera,Potato,Desi,FAQ,510,590,550,27-Feb-21
339,Agra,Achnera,Potato,Desi,FAQ,520,620,580,26-Feb-21
340,Agra,Achnera,Potato,Desi,FAQ,540,620,580,23-Feb-21
341,Agra,Achnera,Potato,Desi,FAQ,520,600,560,22-Feb-21
342,Agra,Achnera,Potato,Desi,FAQ,540,620,580,21-Feb-21
343,Agra,Achnera,Potato,Desi,FAQ,530,610,570,20-Feb-21
344,Agra,Achnera,Potato,Desi,FAQ,540,620,580,19-Feb-21
345,Agra,Achnera,Potato,Desi,FAQ,600,660,630,17-Feb-21
346,Agra,Achnera,Potato,Desi,FAQ,600,650,625,16-Feb-21
347,Agra,Achnera,Potato,Desi,FAQ,600,680,640,15-Feb-21
348,Agra,Achnera,Potato,Desi,FAQ,610,690,650,14-Feb-21
349,Agra,Achnera,Potato,Desi,FAQ,620,680,650,13-Feb-21
350,Agra,Achnera,Potato,Desi,FAQ,630,690,660,12-Feb-21
351,Agra,Achnera,Potato,Desi,FAQ,660,720,690,10-Feb-21
352,Agra,Achnera,Potato,Desi,FAQ,700,780,740,09-Feb-21
353,Agra,Achnera,Potato,Desi,FAQ,660,740,700,08-Feb-21
354,Agra,Achnera,Potato,Desi,FAQ,670,730,700,07-Feb-21
355,Agra,Achnera,Potato,Desi,FAQ,640,720,680,06-Feb-21
356,Agra,Achnera,Potato,Desi,FAQ,720,780,750,05-Feb-21
357,Agra,Achnera,Potato,Desi,FAQ,700,760,730,03-Feb-21
358,Agra,Achnera,Potato,Desi,FAQ,720,780,750,02-Feb-21
359,Agra,Achnera,Potato,Desi,FAQ,720,800,760,01-Feb-21
360,Agra,Achnera,Potato,Desi,FAQ,700,780,740,30-Jan-21
361,Agra,Achnera,Potato,Desi,FAQ,730,790,760,27-Jan-21
362,Agra,Achnera,Potato,Desi,FAQ,760,840,800,25-Jan-21
363,Agra,Achnera,Potato,Desi,FAQ,750,850,800,24-Jan-21
364,Agra,Achnera,Potato,Desi,FAQ,740,840,790,23-Jan-21
